,Year,fiscalrevenue,soerevenue,specific,nightlights,latitude,longitude,population_log
251,1996,1064.0,-133.0,5099.0,-2.2095857000000003,28.22,103.63,12.847319
252,1996,1515.0,-12.0,1887.0,-1.9526898000000001,28.6,103.97,11.891506
253,1996,10139.0,-390.0,7156.0,-2.264441,27.45,104.87,13.942471
254,1996,2412.0,-34.0,3225.0,,27.15,99.28,11.8636875
255,1996,1963.0,32.0,1396.0,-1.2770337999999999,28.63,104.35,11.371984
256,1996,6365.0,-176.0,1846.0,-0.029274976,25.43,103.6,12.077057
257,1996,23113.0,-391.0,5481.0,-0.025118876000000002,26.216666999999998,104.1,14.04069
258,1996,9918.0,226.0,2874.0,1.1181405,25.68,104.25,13.313970000000001
259,1996,10979.0,78.0,3047.0,-0.199236,24.88,104.3,13.104711
260,1996,8690.0,-209.0,2516.0,,24.85,103.98,12.681592
261,1996,15909.0,-558.0,4394.0,0.81233895,25.03,103.65,13.208451
262,1996,12216.0,1231.0,5229.0,-0.7200951,26.42,103.3,13.647017000000002
263,1996,9251.0,-644.0,4192.0,1.4072043,24.3,102.73,12.401454
264,1996,6905.0,-239.0,4779.0,,24.67,102.92,11.85173
265,1996,6809.0,-506.0,5359.0,0.043286264000000005,24.2,102.93,12.153441
266,1996,6321.0,-261.0,4741.0,-0.23742679,24.67,102.15,12.025486
267,1996,11036.0,-252.0,10247.0,1.3382934,23.35,103.15,12.852571000000001
268,1996,9157.0,43.0,2251.0,1.1589046,23.72,103.22,12.448116
269,1996,6230.0,104.0,3846.0,,23.35,103.37,12.607634
270,1996,10256.0,265.0,3980.0,0.12652688,23.63,102.82,13.072554
271,1996,6859.0,160.0,2641.0,-0.7204868000000001,23.73,102.5,12.531823
272,1996,12903.0,-567.0,4579.0,-0.11803338,24.4,103.43,13.051644
273,1996,1216.0,110.0,6126.0,,23.17,102.75,12.757900999999999
274,1996,842.0,-19.0,3521.0,-2.4211476000000003,23.35,102.4,12.454880000000001
275,1996,556.0,21.0,3462.0,,23.0,102.4,12.1797285
276,1996,5094.0,-6.0,4367.0,0.087208845,23.37,104.22,12.87153
277,1996,3061.0,-120.0,3390.0,,23.62,104.33,12.913722
278,1996,2222.0,-4.0,3160.0,-1.0228679,23.43,104.67,12.372214
279,1996,1313.0,-19.0,3109.0,-0.7652661999999999,23.12,104.68,12.467029
280,1996,1990.0,198.0,3418.0,,23.0,104.38,12.73738
281,1996,2737.0,-43.0,4011.0,-1.9459101000000003,24.07,105.07,13.450135000000001
282,1996,1998.0,346.0,3011.0,,23.62,105.62,12.814939
283,1996,12440.0,389.0,2164.0,-0.042249199999999994,22.02,100.8,12.777797999999999
284,1996,4857.0,1019.0,2863.0,-1.0728655,21.95,100.48,12.564027000000001
285,1996,5904.0,245.0,2015.0,-1.252005,21.48,101.55,12.157366
286,1996,21299.0,689.0,4193.0,-0.17335483,25.02,101.53,13.006105999999999
287,1996,3911.0,132.0,3340.0,-2.442746,24.68,101.65,11.925511
288,1996,4586.0,69.0,3210.0,-1.2504097,25.32,101.53,12.186666
289,1996,5213.0,56.0,3785.0,,25.2,101.3,12.315236
290,1996,2875.0,31.0,4078.0,-1.0583681,25.52,101.22,12.192516
291,1996,4904.0,20.0,4043.0,-2.0388992,25.73,101.33,12.539358
292,1996,1876.0,139.0,3806.0,-1.9064961999999999,26.07,101.68,11.524103
293,1996,2382.0,348.0,3560.0,-0.69736254,25.7,101.88,12.180601
294,1996,3469.0,45.0,5367.0,-1.1454277,25.53,102.37,12.442547
295,1996,10042.0,279.0,3651.0,0.30747175,25.15,102.08,12.895368
296,1996,20825.0,539.0,3319.0,1.6919183,25.591894,100.2301,13.070468
297,1996,9379.0,140.0,3851.0,0.11545527,25.48,100.57,12.942272
298,1996,6183.0,78.0,3361.0,0.0027153548,25.82,100.53,12.655035
299,1996,4812.0,-49.0,2642.0,-0.26671478,25.35,100.5,12.595053
300,1996,3190.0,225.0,2450.0,-1.2474786,25.47,99.52,12.024946
301,1996,4209.0,303.0,3209.0,-0.6426590999999999,26.1,99.93,12.6558485
302,1996,1408.0,109.0,3530.0,-1.4768796,26.53,99.87,11.996967
303,1996,3526.0,780.0,4436.0,-0.9998437,26.55,100.18,12.447473
304,1996,7153.0,464.0,3003.0,-0.7152764,24.72,99.15,12.656861
305,1996,7784.0,554.0,4503.0,,25.02,98.5,13.252818
306,1996,5232.0,363.0,3006.0,,24.83,99.58,12.686556
307,1996,3138.0,592.0,4135.0,-0.5728238,24.58,98.68,12.467948
308,1996,3941.0,138.0,2027.0,,24.181835,98.09143,
309,1996,3941.0,138.0,2027.0,0.63548803,24.53,103.77,12.771531
310,1996,1232.0,247.0,1562.0,-0.64261436,24.8,98.3,
311,1996,3539.0,737.0,2165.0,-0.771366,24.68,97.93,
312,1996,1723.0,-22.0,2001.0,,24.33,97.95,
313,1996,5094.0,576.0,1135.0,0.9105787000000001,24.0,97.83,
314,1996,3031.0,311.0,5134.0,-2.3515294,26.7,100.73,12.820747
315,1996,2260.0,379.0,2555.0,0.29977325,26.65,101.23,11.893872
316,1996,1248.0,7.0,2012.0,-1.151713,25.98,98.82,11.925525
317,1996,79.0,-264.0,2711.0,-4.525752,28.5,98.92,10.968853
318,1996,3590.0,606.0,3346.0,-0.13542555,24.58,99.88,12.938263000000001
319,1996,1764.0,92.0,3075.0,-1.4738138,24.03,99.23,12.654403
320,1996,1225.0,73.0,2428.0,-1.4257855,23.92,99.03,11.9224825
321,1996,911.0,-15.0,801.0,2.23799,34.900856,108.94558,12.227276
322,1996,2106.0,25.0,2126.0,-1.2212372,36.5,102.37,12.580549000000001
323,1996,1504.0,46.0,1402.0,,36.48,102.13,11.590794
324,1996,2355.0,104.0,2171.0,-0.36665586,36.5,101.57,13.002358000000001
325,1996,1127.0,57.0,1386.0,-0.5577661,36.72,101.28,11.782701
326,1996,773.0,187.0,442.0,-4.7864933,36.32,98.1,10.879667999999999
327,1996,1306.0,44.0,545.0,-3.0811229,36.28,100.62,11.780911999999999
328,1996,704.0,20.0,840.0,-1.0565434,36.03,101.45,11.420547000000001
329,1996,776.0,2.0,500.0,,35.58,100.7,11.023258
330,1996,533.0,4.0,517.0,-4.805841,35.27,100.6,10.721767999999999
331,1996,746.0,20.0,397.0,-4.0719113,35.6,99.98,10.887474000000001
332,1996,638.0,27.0,342.0,-1.2660723,36.9,100.97,10.259936999999999
333,1996,354.0,-1.0,381.0,-5.4452276,35.05,101.5,10.724169999999999
334,1996,583.0,113.0,96.0,-6.760511,33.37,97.1,10.579539
335,1996,196.0,7.0,113.0,,32.93,95.3,10.417897
336,1996,219.0,38.0,287.0,-7.8634496,33.85,95.62,9.988885
337,1996,378.0,38.0,141.0,-6.3527017,34.05,95.83,9.909469999999999
338,1996,743.0,63.0,249.0,-4.036457,34.5,100.23,10.388195
339,1996,255.0,26.0,156.0,-6.829499,33.97,99.87,10.035393
340,1996,198.0,-1.0,499.0,,33.75,99.68,10.000705
341,1996,286.0,32.0,265.0,,34.9133,98.1839,9.266625999999999
342,1996,1122.0,779.0,184.0,,32.95,100.7,9.888628
